,SouceToDestination_city,ROUTE,#source_cities,#destination_cities,Number_of_Trips,Average_Actual_distance_to_destination,#source_states,#destination_states,destination_states,source_states,source_cities,route_type,destination_cities
969,Delhi TO Delhi,Delhi -- Delhi,1,1,2,9.668165863333712,1,1,Delhi,Delhi,Delhi,Carting,Delhi
970,Mumbai TO Mumbai,Mumbai -- Mumbai,1,1,17,14.07251428833203,1,1,Maharashtra,Hub Maharashtra,Mumbai,Carting,Mumbai
971,Delhi TO Guwahati,Delhi -- Guwahati,1,1,1,1477.5356261254103,1,1,Assam,Delhi,Delhi,FTL,Guwahati
972,Hyderabad TO Hyderabad,Hyderabad -- Hyderabad,1,1,32,21.83557851561085,1,1,Telangana,Telangana,Hyderabad,Carting,Hyderabad
973,Del TO Noida,Del -- Noida,1,1,4,10.06651801730229,1,1,Uttar Pradesh,Delhi,Del,Carting,Noida
974,Ahmedabad TO Mehsana,Ahmedabad -- Mehsana,1,1,8,82.02565006864637,1,1,Gujarat,Gujarat,Ahmedabad,FTL,Mehsana
975,Gurgaon TO FBD,Gurgaon -- FBD,1,1,15,47.23437674214619,1,1,Haryana,Haryana,Gurgaon,Carting,FBD
976,Hyderabad TO Patancheru,Hyderabad -- Patancheru,1,1,10,29.205672793494948,1,1,Telangana,Telangana,Hyderabad,Carting,Patancheru
977,Bhubaneshwar TO Bhadrak,Bhubaneshwar -- Bhadrak,1,1,1,107.31792299292404,1,1,Orissa,Orissa,Bhubaneshwar,FTL,Bhadrak
978,Dehradun TO Sonipat,Dehradun -- Sonipat,1,1,5,177.41362157247275,1,1,Haryana,Uttarakhand,Dehradun,Carting,Sonipat
979,Gurgaon TO Chandigarh,Gurgaon -- Chandigarh,1,1,16,236.8580608149063,1,1,Punjab,Haryana,Gurgaon,FTL,Chandigarh
980,Noida TO Gurgaon,Noida -- Gurgaon,1,1,11,61.708981076820585,1,1,Haryana,Uttar Pradesh,Noida,Carting,Gurgaon
981,Chandigarh TO Chandigarh,Chandigarh -- Chandigarh,1,1,16,31.40849326521261,1,1,Punjab,Chandigarh,Chandigarh,Carting,Chandigarh
982,Dhanbad TO Dhanbad,Dhanbad -- Dhanbad,1,1,1,10.729804704538642,1,1,Jharkhand,Jharkhand,Dhanbad,Carting,Dhanbad
983,Kanpur TO Gurgaon,Kanpur -- Gurgaon,1,1,3,382.89147693200533,1,1,Haryana,Uttar Pradesh,Kanpur,FTL,Gurgaon
984,Lucknow TO Lucknow,Lucknow -- Lucknow,1,1,1,11.98548393632328,1,1,Uttar Pradesh,Uttar Pradesh,Lucknow,Carting,Lucknow
985,Chennai TO Chennai,Chennai -- Chennai,1,1,3,12.517414883889595,1,1,Tamil Nadu,Tamil Nadu,Chennai,Carting,Chennai
986,Mumbai TO Mumbai,Mumbai -- Mumbai,1,1,13,9.277867901087017,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Mumbai
987,Mumbai TO Mumbai,Mumbai -- Mumbai,1,1,17,9.41532813216256,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Mumbai
988,Gurgaon TO Noida,Gurgaon -- Noida,1,1,15,63.56973464767621,1,1,Uttar Pradesh,Haryana,Gurgaon,Carting,Noida
989,Dhanbad TO Dhanbad,Dhanbad -- Dhanbad,1,1,9,14.227839065241234,1,1,Jharkhand,Jharkhand,Dhanbad,Carting,Dhanbad
990,Kolkata TO CCU,Kolkata -- CCU,1,1,9,16.850039118143386,1,1,West Bengal,West Bengal,Kolkata,Carting,CCU
991,Gurgaon TO Bengaluru,Gurgaon -- Bengaluru,1,1,21,1689.7918936277388,1,1,Karnataka,Haryana,Gurgaon,FTL,Bengaluru
992,Delhi TO GZB,Delhi -- GZB,1,1,6,23.781089333887312,1,1,Uttar Pradesh,Delhi,Delhi,Carting,GZB
993,Delhi TO Gurgaon,Delhi -- Gurgaon,1,1,9,36.484570099563,1,1,Haryana,Delhi,Delhi,Carting,Gurgaon
994,Pune TO Nanded,Pune -- Nanded,1,1,6,382.0795933702995,1,1,Maharashtra,Maharashtra,Pune,FTL,Nanded
995,Gurgaon TO Bengaluru,Gurgaon -- Bengaluru,1,1,21,1689.8731584720479,1,1,Karnataka,Haryana,Gurgaon,FTL,Bengaluru
996,Sonipat TO Gurgaon,Sonipat -- Gurgaon,1,1,12,72.75061860792998,1,1,Haryana,Haryana,Sonipat,Carting,Gurgaon
997,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,6,12.575221613450521,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
998,Trivandrum TO Trivandrum,Trivandrum -- Trivandrum,1,1,3,9.43895471842759,1,1,Kerala,Kerala,Trivandrum,Carting,Trivandrum
999,Delhi TO Sonipat,Delhi -- Sonipat,1,1,4,35.79930562223551,1,1,Haryana,Delhi,Delhi,Carting,Sonipat
1000,Bengaluru TO BLR,Bengaluru -- BLR,1,1,2,23.374279442451073,1,1,Karnataka,Karnataka,Bengaluru,Carting,BLR
1001,Gurgaon TO nan,Gurgaon -- nan,1,0,2,29.817367943980614,1,0,nan,Haryana,Gurgaon,Carting,nan
1002,Surat TO Surat,Surat -- Surat,1,1,3,14.690993255644194,1,1,Gujarat,Gujarat,Surat,Carting,Surat
1003,Chennai TO Chennai,Chennai -- Chennai,1,1,1,14.59628232215678,1,1,Tamil Nadu,Tamil Nadu,Chennai,Carting,Chennai
1004,Rasipurm TO Namakkal,Rasipurm -- Namakkal,1,1,10,27.004770033160042,1,1,Tamil Nadu,Tamil Nadu,Rasipurm,FTL,Namakkal
1005,Pune TO Pune,Pune -- Pune,1,1,7,17.560333869835492,1,1,Maharashtra,Maharashtra,Pune,Carting,Pune
1006,Surat TO Bengaluru,Surat -- Bengaluru,1,1,3,1015.0162924007064,1,1,Karnataka,Gujarat,Surat,FTL,Bengaluru
1007,Bengaluru TO BLR,Bengaluru -- BLR,1,1,8,25.40825576096701,1,1,Karnataka,Karnataka,Bengaluru,Carting,BLR
1008,Chennai TO MAA,Chennai -- MAA,1,1,10,24.702434871323998,1,1,Tamil Nadu,Tamil Nadu,Chennai,Carting,MAA
1009,Bhiwandi TO Mumbai,Bhiwandi -- Mumbai,1,1,3,21.66116420497882,1,1,Maharashtra,Maharashtra,Bhiwandi,Carting,Mumbai
1010,Sitarganj TO Rudrapur,Sitarganj -- Rudrapur,1,1,2,31.351360970509667,1,1,Uttarakhand,Uttarakhand,Sitarganj,FTL,Rudrapur
1011,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,6,24.288806601570155,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1012,Delhi TO Delhi,Delhi -- Delhi,1,1,1,9.491885958126108,1,1,Delhi,Delhi,Delhi,Carting,Delhi
1013,FBD TO Delhi,FBD -- Delhi,1,1,16,20.004977365122517,1,1,Delhi,Haryana,FBD,Carting,Delhi
1014,MAA TO Chennai,MAA -- Chennai,1,1,8,31.677823814673573,1,1,Tamil Nadu,Tamil Nadu,MAA,Carting,Chennai
1015,Blr TO Bengaluru,Blr -- Bengaluru,1,1,4,16.92201596485708,1,1,Karnataka,Karnataka,Blr,Carting,Bengaluru
1016,Tezu TO Dibrugarh,Tezu -- Dibrugarh,1,1,1,126.78455631982747,1,1,Assam,Arunachal Pradesh,Tezu,Carting,Dibrugarh
1017,Bhiwandi TO Gurgaon,Bhiwandi -- Gurgaon,1,1,13,1078.2360111333314,1,1,Haryana,Maharashtra,Bhiwandi,FTL,Gurgaon
1018,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,9,39.707479993099504,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1019,Bhiwandi TO Bengaluru,Bhiwandi -- Bengaluru,1,1,7,830.0747227233936,1,1,Karnataka,Maharashtra,Bhiwandi,FTL,Bengaluru
1020,Del TO Gurgaon,Del -- Gurgaon,1,1,4,49.08522746847631,1,1,Haryana,Delhi,Del,Carting,Gurgaon
1021,Noida TO Noida,Noida -- Noida,1,1,13,14.864558228113792,1,1,Uttar Pradesh,Uttar Pradesh,Noida,Carting,Noida
1022,Gurgaon TO Bhopal,Gurgaon -- Bhopal,1,1,18,562.9570494722188,1,1,Madhya Pradesh,Haryana,Gurgaon,FTL,Bhopal
1023,Mumbai TO Bhiwandi,Mumbai -- Bhiwandi,1,1,7,23.144947906074552,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Bhiwandi
1024,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,4,29.296268206373757,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1025,Chennai TO Chennai,Chennai -- Chennai,1,1,10,28.356679112660846,1,1,Tamil Nadu,Tamil Nadu,Chennai,Carting,Chennai
1026,Pune TO Kolhapur,Pune -- Kolhapur,1,1,13,220.16477791220274,1,1,Maharashtra,Maharashtra,Pune,FTL,Kolhapur
1027,Coimbatore TO Cjb,Coimbatore -- Coimbatore Cjb,1,2,5,30.55876032918269,1,1,Tamil Nadu,Tamil Nadu,Coimbatore,Carting,Coimbatore Cjb
1028,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,19,10.488713989118146,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1029,Ghaziabad TO GZB,Ghaziabad -- GZB,1,1,2,9.901043645467091,1,1,Uttar Pradesh,Uttar Pradesh,Ghaziabad,Carting,GZB
1030,Bhiwandi TO Hyderabad,Bhiwandi -- Hyderabad,1,1,2,608.0159194302191,1,1,Telangana,Maharashtra,Bhiwandi,FTL,Hyderabad
1031,Del TO Gurgaon,Del -- Gurgaon,1,1,4,48.66990526378003,1,1,Haryana,Delhi,Del,Carting,Gurgaon
1032,Bengaluru TO Aluva,Bengaluru -- Bengaluru Aluva,1,2,12,286.4702916061577,1,2,Karnataka Kerala,Karnataka,Bengaluru,FTL,Bengaluru Aluva
1033,Ahmedabad TO Ahmedabad,Ahmedabad -- Ahmedabad,1,1,19,24.23584099647792,1,1,Gujarat,Gujarat,Ahmedabad,Carting,Ahmedabad
1034,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,12,24.4752337538129,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1035,Delhi TO Gurgaon,Delhi -- Gurgaon,1,1,4,37.64123879482084,1,1,Haryana,Delhi,Delhi,Carting,Gurgaon
1036,Gurgaon TO Delhi,Gurgaon -- Delhi,1,1,4,55.13509100412739,1,1,Delhi,Haryana,Gurgaon,Carting,Delhi
1037,Chennai TO Chennai,Chennai -- Chennai,1,1,4,18.167078239298498,1,1,Tamil Nadu,Tamil Nadu,Chennai,Carting,Chennai
1038,Bhiwandi TO Bengaluru,Bhiwandi -- Bengaluru,1,1,4,830.0937703947551,1,1,Karnataka,Maharashtra,Bhiwandi,FTL,Bengaluru
1039,HBR TO Bengaluru,HBR -- Bengaluru,1,1,16,24.270659142581408,1,1,Karnataka,Karnataka,HBR,Carting,Bengaluru
1040,Dhanbad TO Nirsa,Dhanbad -- Nirsa,1,1,1,28.17317620351516,1,1,Jharkhand,Jharkhand,Dhanbad,Carting,Nirsa
1041,Mumbai TO Bhiwandi,Mumbai -- Bhiwandi,1,1,25,19.94219063782423,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Bhiwandi
1042,Sonipat TO Gurgaon,Sonipat -- Gurgaon,1,1,17,71.95184782858702,1,1,Haryana,Haryana,Sonipat,Carting,Gurgaon
1043,Ahmedabad TO Ahmedabad,Ahmedabad -- Ahmedabad,1,1,19,25.511464287797622,1,1,Gujarat,Gujarat,Ahmedabad,Carting,Ahmedabad
1044,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,4,28.102755746365546,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1045,Bhandara TO Savner,Bhandara -- Bhandara Savner,1,2,12,101.52587689041673,1,1,Maharashtra,Maharashtra,Bhandara,Carting,Bhandara Savner
1046,Tiruchi TO Tiruchi,Tiruchi -- Tiruchi,1,1,12,15.900678471831855,1,1,Tamil Nadu,Tamil Nadu,Tiruchi,Carting,Tiruchi
1047,Bhiwandi TO Mumbai,Bhiwandi -- Mumbai,1,1,2,15.363159008619212,1,1,Maharashtra,Maharashtra,Bhiwandi,Carting,Mumbai
1048,Hyderabad TO Hyderabad,Hyderabad -- Hyderabad,1,1,14,36.00980268160641,1,1,Telangana,Telangana,Hyderabad,Carting,Hyderabad
1049,Delhi TO Bhiwandi,Delhi -- Bhiwandi,1,1,18,1114.1821965403951,1,1,Maharashtra,Delhi,Delhi,FTL,Bhiwandi
1050,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,13,42.32074312109666,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1051,GGN TO Gurgaon,GGN -- Gurgaon,1,1,1,10.900953172306409,1,1,Haryana,Haryana,GGN,Carting,Gurgaon
1052,Pune TO PNQ,Pune -- PNQ,1,1,7,13.290801861708328,1,1,Maharashtra,Maharashtra,Pune,Carting,PNQ
1053,Pune TO Pune,Pune -- Pune,1,1,6,21.533413436570935,1,1,Maharashtra,Maharashtra,Pune,Carting,Pune
1054,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,19,34.19900453183078,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1055,Pune TO PNQ,Pune -- PNQ,1,1,10,21.670112971659123,1,1,Maharashtra,Maharashtra,Pune,Carting,PNQ
1056,Pune TO PNQ,Pune -- PNQ,1,1,17,21.320454573293834,1,1,Maharashtra,Maharashtra,Pune,Carting,PNQ
1057,Ranchi TO Jamshedpur,Ranchi -- Jamshedpur,1,1,14,100.71648570951034,1,1,Jharkhand,Jharkhand,Ranchi,FTL,Jamshedpur
1058,Ranchi TO Dhanbad,Ranchi -- Dhanbad,1,1,2,120.7316606342015,1,1,Jharkhand,Jharkhand,Ranchi,Carting,Dhanbad
1059,Pune TO PNQ,Pune -- PNQ,1,1,7,21.426933861304782,1,1,Maharashtra,Maharashtra,Pune,Carting,PNQ
1060,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,33,28.067003538133125,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1061,Gurgaon TO Delhi,Gurgaon -- Delhi,1,1,3,54.8227925689988,1,1,Delhi,Haryana,Gurgaon,Carting,Delhi
1062,Ahmedabad TO Gurgaon,Ahmedabad -- Gurgaon,1,1,8,735.3648556634495,1,1,Haryana,Gujarat,Ahmedabad,FTL,Gurgaon
1063,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,10,21.296337557656525,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1064,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,2,28.513830909166202,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1065,Kolkata TO Kolkata,Kolkata -- Kolkata,1,1,15,20.29695835147122,1,1,West Bengal,West Bengal,Kolkata,Carting,Kolkata
1066,Tirupur TO Coimbatore,Tirupur -- Coimbatore,1,1,7,23.574122922300425,1,1,Tamil Nadu,Tamil Nadu,Tirupur,FTL,Coimbatore
1067,Pune TO Pune,Pune -- Pune,1,1,1,22.18353498123052,1,1,Maharashtra,Maharashtra,Pune,Carting,Pune
1068,GGN TO Gurgaon,GGN -- Gurgaon,1,1,3,29.5829173803119,1,1,Haryana,Haryana,GGN,Carting,Gurgaon
1069,Chennai TO MAA,Chennai -- MAA,1,1,7,25.069856313637526,1,1,Tamil Nadu,Tamil Nadu,Chennai,Carting,MAA
1070,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,5,39.53636942232542,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1071,Goa TO Goa,Goa -- Goa,1,1,1,53.73721621968626,1,1,Goa,Goa,Goa,Carting,Goa
1072,Bengaluru TO BLR,Bengaluru -- BLR,1,1,1,24.98188628356136,1,1,Karnataka,Karnataka,Bengaluru,Carting,BLR
1073,Gurgaon TO Delhi,Gurgaon -- Delhi,1,1,20,32.539499980239455,1,1,Delhi,Haryana,Gurgaon,Carting,Delhi
1074,Chennai TO Chennai,Chennai -- Chennai,1,1,22,31.96037488612257,1,1,Tamil Nadu,Tamil Nadu,Chennai,Carting,Chennai
1075,MAA TO Hyderabad,MAA -- Hyderabad,1,1,2,494.11858891109864,1,1,Telangana,Tamil Nadu,MAA,FTL,Hyderabad
1076,Mumbai TO Mumbai,Mumbai -- Mumbai,1,1,3,10.021977338211485,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Mumbai
1077,Delhi TO Gurgaon,Delhi -- Gurgaon,1,1,3,38.98024959379808,1,1,Haryana,Delhi,Delhi,Carting,Gurgaon
1078,BLR TO Bengaluru,BLR -- Bengaluru,1,1,9,16.93774059959067,1,1,Karnataka,Karnataka,BLR,Carting,Bengaluru
1079,Chennai TO MAA,Chennai -- MAA,1,1,7,31.00667612508679,1,1,Tamil Nadu,Tamil Nadu,Chennai,Carting,MAA
1080,Bhopal TO Bhopal,Bhopal -- Bhopal,1,1,19,14.343240423301964,1,1,Madhya Pradesh,Madhya Pradesh,Bhopal,Carting,Bhopal
1081,Chennai TO Chennai,Chennai -- Chennai,1,1,5,22.16673054074934,1,1,Tamil Nadu,Tamil Nadu,Chennai,Carting,Chennai
1082,Ahmedabad TO Ahmedabad,Ahmedabad -- Ahmedabad,1,1,20,26.073180021715324,1,1,Gujarat,Gujarat,Ahmedabad,Carting,Ahmedabad
1083,Delhi TO Gurgaon,Delhi -- Gurgaon,1,1,1,54.52949219813182,1,1,Haryana,Delhi,Delhi,Carting,Gurgaon
1084,Hyderabad TO Hyderabad,Hyderabad -- Hyderabad,1,1,1,9.15564189950292,1,1,Telangana,Telangana,Hyderabad,Carting,Hyderabad
1085,Mumbai TO Bhiwandi,Mumbai -- Bhiwandi,1,1,15,16.395110585066558,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Bhiwandi
1086,Delhi TO Delhi,Delhi -- Delhi,1,1,22,17.75759850004242,1,1,Delhi,Delhi,Delhi,Carting,Delhi
1087,Chennai TO MAA,Chennai -- MAA,1,1,18,31.564109096480667,1,1,Tamil Nadu,Tamil Nadu,Chennai,Carting,MAA
1088,Delhi TO Sonipat,Delhi -- Sonipat,1,1,11,35.7835424673898,1,1,Haryana,Delhi,Delhi,Carting,Sonipat
1089,Kolkata TO CCU,Kolkata -- CCU,1,1,12,16.68609462357438,1,1,West Bengal,West Bengal,Kolkata,Carting,CCU
1090,Hyderabad TO Hyderabad,Hyderabad -- Hyderabad,1,1,6,17.611634905695727,1,1,Telangana,Telangana,Hyderabad,Carting,Hyderabad
1091,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,15,28.053639030379397,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1092,Gurgaon TO Faridabad,Gurgaon -- Faridabad,1,1,15,46.91926804386735,1,1,Haryana,Haryana,Gurgaon,Carting,Faridabad
1093,Gurgaon TO Del,Gurgaon -- Del,1,1,6,36.67459653300984,1,1,Delhi,Haryana,Gurgaon,Carting,Del
1094,Naugarh TO Bansi,Naugarh -- Bansi,1,1,3,18.275400392198616,1,1,Uttar Pradesh,Uttar Pradesh,Naugarh,Carting,Bansi
1095,Bhiwandi TO Mumbai,Bhiwandi -- Mumbai,1,1,23,21.54896142889147,1,1,Maharashtra,Maharashtra,Bhiwandi,Carting,Mumbai
1096,Gurgaon TO Ghaziabad,Gurgaon -- Ghaziabad,1,1,3,73.06987221529342,1,1,Uttar Pradesh,Haryana,Gurgaon,Carting,Ghaziabad
1097,Surat TO Surat,Surat -- Surat,1,1,1,9.850480057034275,1,1,Gujarat,Gujarat,Surat,Carting,Surat
1098,Del TO Gurgaon,Del -- Gurgaon,1,1,6,48.66879225520566,1,1,Haryana,Delhi,Del,Carting,Gurgaon
1099,Gwalior TO Shivpuri,Gwalior -- Shivpuri,1,1,1,104.73070829819996,1,1,Madhya Pradesh,Madhya Pradesh,Gwalior,FTL,Shivpuri
1100,Bengaluru TO Gurgaon,Bengaluru -- Gurgaon,1,1,14,1694.5843885707397,1,1,Haryana,Karnataka,Bengaluru,FTL,Gurgaon
1101,PNQ TO Pune,PNQ -- Pune,1,1,1,10.301718622960957,1,1,Maharashtra,Maharashtra,PNQ,Carting,Pune
1102,Hyderabad TO Hyderabad,Hyderabad -- Hyderabad,1,1,20,21.77643858507266,1,1,Telangana,Telangana,Hyderabad,Carting,Hyderabad
1103,Hyderabad TO Hyderabad,Hyderabad -- Hyderabad,1,1,5,17.824123191787372,1,1,Telangana,Telangana,Hyderabad,Carting,Hyderabad
1104,Visakhapatnam TO Vishakhapatnam,Visakhapatnam -- Vishakhapatnam,1,1,1,11.492270382161449,1,1,Andhra Pradesh,Andhra Pradesh,Visakhapatnam,Carting,Vishakhapatnam
1105,Gurgaon TO Chandigarh,Gurgaon -- Chandigarh,1,1,9,236.757634648951,1,1,Punjab,Haryana,Gurgaon,FTL,Chandigarh
1106,Hyderabad TO Hyderabad,Hyderabad -- Hyderabad,1,1,7,27.344162732706174,1,1,Telangana,Telangana,Hyderabad,Carting,Hyderabad
1107,Guwahati TO Guwahati,Guwahati -- Guwahati,1,1,9,16.129452544048018,1,1,Assam,Assam,Guwahati,Carting,Guwahati
1108,Gurgaon TO Sasaram,Gurgaon -- Sasaram,1,1,18,804.2106701511767,1,1,Bihar,Haryana,Gurgaon,FTL,Sasaram
1109,Gurgaon TO Delhi,Gurgaon -- Delhi,1,1,19,45.98854644808439,1,1,Delhi,Haryana,Gurgaon,Carting,Delhi
1110,GreaterThane TO Mumbai,GreaterThane -- Mumbai,1,1,16,20.530092845299183,1,1,Maharashtra,Maharashtra,GreaterThane,Carting,Mumbai
1111,Visakhapatnam TO Chodavaram,Visakhapatnam -- Chodavaram,1,1,1,28.423132858000237,1,1,Andhra Pradesh,Andhra Pradesh,Visakhapatnam,Carting,Chodavaram
1112,Kolkata TO CCU,Kolkata -- CCU,1,1,1,15.30875561432516,1,1,West Bengal,West Bengal,Kolkata,Carting,CCU
1113,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,16,31.806705196133453,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1114,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,8,39.87741788574934,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1115,Chandigarh TO Delhi,Chandigarh -- Delhi,1,1,9,209.75130518018076,1,1,Delhi,Punjab,Chandigarh,FTL,Delhi
1116,Mumbai TO Bhiwandi,Mumbai -- Bhiwandi,1,1,10,36.52761895584406,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Bhiwandi
1117,Gurgaon TO KN,Gurgaon -- KN,1,1,11,46.1443030582902,1,1,Delhi,Haryana,Gurgaon,Carting,KN
1118,Delhi TO Gurgaon,Delhi -- Gurgaon,1,1,1,37.36746456883334,1,1,Haryana,Delhi,Delhi,Carting,Gurgaon
1119,Pune TO Pune,Pune -- Pune,1,1,4,15.547456318713513,1,1,Maharashtra,Maharashtra,Pune,Carting,Pune
1120,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,12,28.193030232599227,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1121,Mumbai TO Mumbai,Mumbai -- Mumbai,1,1,1,10.050006019646226,1,1,Maharashtra,Maharashtra,Mumbai,Carting,Mumbai
1122,Delhi TO Gurgaon,Delhi -- Gurgaon,1,1,7,37.156514684505915,1,1,Haryana,Delhi,Delhi,Carting,Gurgaon
1123,Chandigarh TO Zirakpur,Chandigarh -- Chandigarh Zirakpur,1,2,20,44.69010295495441,2,1,Punjab,Chandigarh Punjab,Chandigarh,Carting,Chandigarh Zirakpur
1124,Gurgaon TO GGN,Gurgaon -- GGN,1,1,19,29.54713311711355,1,1,Haryana,Haryana,Gurgaon,Carting,GGN
1125,CCU TO Kolkata,CCU -- Kolkata,1,1,24,16.36750700431297,1,1,West Bengal,West Bengal,CCU,Carting,Kolkata
1126,Chennai TO MAA,Chennai -- MAA,1,1,2,25.236723744742676,1,1,Tamil Nadu,Tamil Nadu,Chennai,Carting,MAA
1127,Allahabad TO Allahabad,Allahabad -- Allahabad,1,1,5,30.56354279400849,1,1,Uttar Pradesh,Uttar Pradesh,Allahabad,Carting,Allahabad
1128,Gurgaon TO Jaipur,Gurgaon -- Jaipur,1,1,16,195.79729477121083,1,1,Rajasthan,Haryana,Gurgaon,FTL,Jaipur
1129,Surat TO Surat,Surat -- Surat,1,1,1,9.109091654619585,1,1,Gujarat,Gujarat,Surat,Carting,Surat
1130,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,15,29.08996932963874,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1131,Chandigarh TO Gurgaon,Chandigarh -- Gurgaon,1,1,14,236.67605936352408,1,1,Haryana,Punjab,Chandigarh,FTL,Gurgaon
1132,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,1,9.042020319575272,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1133,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,3,29.428379100500496,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1134,Gurgaon TO GGN,Gurgaon -- GGN,1,1,18,29.68134182383261,1,1,Haryana,Haryana,Gurgaon,Carting,GGN
1135,Bhiwandi TO Mumbai,Bhiwandi -- Mumbai,1,1,1,13.557685215626664,1,1,Maharashtra,Maharashtra,Bhiwandi,Carting,Mumbai
1136,Gurgaon TO Ranchi,Gurgaon -- Ranchi,1,1,16,1010.9532225291338,1,1,Jharkhand,Haryana,Gurgaon,FTL,Ranchi
1137,Bhiwandi TO Ahmedabad,Bhiwandi -- Ahmedabad,1,1,6,410.2988869307239,1,1,Gujarat,Maharashtra,Bhiwandi,FTL,Ahmedabad
1138,Kanpur TO Kanpur,Kanpur -- Kanpur,1,1,14,24.281263767093016,1,1,Uttar Pradesh,Uttar Pradesh,Kanpur,Carting,Kanpur
1139,Varanasi TO nan,Varanasi -- Varanasi nan,1,1,1,20.519246083207136,1,1,Uttar Pradesh nan,Uttar Pradesh,Varanasi,Carting,Varanasi nan
1140,Delhi TO Sonipat,Delhi -- Sonipat,1,1,2,36.052860102882306,1,1,Haryana,Delhi,Delhi,Carting,Sonipat
1141,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,1,42.84623114940681,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1142,Kolkata TO Howrah,Kolkata -- Howrah,1,1,1,10.018285597448555,1,1,West Bengal,West Bengal,Kolkata,Carting,Howrah
1143,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,3,20.913149064871106,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
1144,Delhi TO Lucknow,Delhi -- Lucknow,1,1,1,422.8744151142268,1,1,Uttar Pradesh,Delhi,Delhi,FTL,Lucknow
1145,Bengaluru TO BLR,Bengaluru -- BLR,1,1,1,14.74332807354521,1,1,Karnataka,Karnataka,Bengaluru,Carting,BLR
1146,Bhiwandi TO Pune,Bhiwandi -- Pune,1,1,7,101.46885411204012,1,1,Maharashtra,Maharashtra,Bhiwandi,FTL,Pune
1147,Guwahati TO Guwahati,Guwahati -- Guwahati,1,1,10,10.798666669853299,1,1,Assam,Assam,Guwahati,Carting,Guwahati
1148,Pune TO Bhiwandi,Pune -- Bhiwandi,1,1,15,101.13309037977587,1,1,Maharashtra,Maharashtra,Pune,FTL,Bhiwandi
1149,Bengaluru TO Bengaluru,Bengaluru -- Bengaluru,1,1,9,29.857170462230506,1,1,Karnataka,Karnataka,Bengaluru,Carting,Bengaluru
